"Team","Year","Player.(53)","Pos","Age","Cap.Hit","Cap.Hit.Pct","Dead.Cap","Base.Salary","Cap_Hit","Cap.Hit.Pct.League.Cap","Base.P5.Salary","Signing.Bonus.Proration","Per.Game.Bonus","Roster.Bonus","Option.Bonus","Workout.Bonus","Restructure.Proration","Incentives.Likely","Player.(55)","Player.Name","Player.(54)","Player.(52)"
"Seattle Seahawks",2021,"Wilson Russell Wilson","QB",33,"$32,000,000","17.53%","($58,000,000)","$19,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Lockett Tyler Lockett","WR",29,"$8,050,000","4.41%","($39,250,000)","$2,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Wagner Bobby Wagner","ILB",31,"$17,150,000","9.40%","($20,650,000)","$13,150,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Jackson Gabe Jackson","G",30,"$4,075,000","2.23%","($10,075,000)","$1,075,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Brooks Jordyn Brooks","OLB",24,"$2,780,820","1.52%","($10,010,952)","$1,166,164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Dunlap Carlos Dunlap","DE",32,"$2,900,000","1.59%","($8,500,000)","$1,500,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Dickson Michael Dickson","P",25,"$2,372,540","1.30%","($7,572,540)","$1,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Ford Poona Ford","DT",26,"$2,670,000","1.46%","($7,500,000)","$920,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Diggs Quandre Diggs","FS",28,"$3,625,000","1.99%","($6,150,000)","$1,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Brown Duane Brown","LT",36,"$9,850,000","5.40%","($6,000,000)","$4,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Everett Gerald Everett","TE",27,"$4,000,000","2.19%","($6,000,000)","$2,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Collier L.J. Collier","DE",26,"$2,955,294","1.62%","($5,416,815)","$1,480,098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Myers Jason Myers","K",30,"$4,350,000","2.38%","($5,350,000)","$3,350,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Mayowa Benson Mayowa","DE",30,"$2,240,000","1.23%","($4,100,000)","$1,100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Hyder Kerry Hyder","DE",30,"$1,950,000","1.07%","($3,650,000)","$1,100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Pocic Ethan Pocic","C",26,"$2,000,000","1.10%","($3,000,000)","$1,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Taylor Darrell Taylor","DE",24,"$1,537,388","0.84%","($2,777,208)","$917,478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Eskridge D'Wayne Eskridge","WR",24,"$1,082,455","0.59%","($2,620,434)","$660,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Bellore Nick Bellore","FB",32,"$1,700,000","0.93%","($2,300,000)","$1,100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Penny Rashaad Penny","RB",25,"$3,425,367","1.88%","($2,057,353)","$1,948,014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Woods Al Woods","DT",34,"$2,411,765","1.32%","($1,250,000)","$1,250,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Ott Tyler Ott","LS",29,"$1,115,000","0.61%","($1,240,000)","$990,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Smith Geno Smith","QB",31,"$987,500","0.54%","($1,212,500)","$1,075,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Lewis Damien Lewis","G",24,"$1,114,122","0.61%","($843,894)","$832,824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Metcalf D.K. Metcalf","WR",24,"$1,250,741","0.69%","($677,654)","$911,914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Parkinson Colby Parkinson","TE",22,"$890,943","0.49%","($502,830)","$723,333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Barton Cody Barton","ILB",25,"$1,071,031","0.59%","($442,062)","$850,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Dallas DeeJay Dallas","RB",23,"$903,600","0.50%","($370,800)","$780,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Amadi Ugo Amadi","CB",24,"$1,011,299","0.55%","($322,598)","$850,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Robinson Alton Robinson","DE",23,"$867,837","0.48%","($263,511)","$780,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Jones Sidney Jones","CB",25,"$1,288,235","0.71%","($250,000)","$1,050,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Green Rasheem Green","DE",24,"$1,148,139","0.63%","($228,139)","$920,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Forsythe Stone Forsythe","LT",24,"$701,656","0.38%","($166,624)","$660,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Dissly Will Dissly","TE",25,"$1,082,569","0.59%","($162,569)","$920,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Swain Freddie Swain","WR",23,"$812,353","0.45%","($97,059)","$780,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Homer Travis Homer","RB",23,"$885,704","0.49%","($71,408)","$850,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Jones Jamarco Jones","LT",25,"$911,253","0.50%","($61,253)","$850,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Curhan Jake Curhan","RT",23,"$669,500","0.37%","($28,500)","$660,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Neal Ryan Neal","CB",26,"$920,000","0.50%","-","$920,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Reed D.J. Reed","CB",25,"$920,000","0.50%","-","$920,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Austin Blessuan Austin","CB",25,"$850,000","0.47%","-","$850,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Mone Bryan Mone","DT",26,"$850,000","0.47%","-","$850,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Hart Penny Hart","WR",25,"$780,000","0.43%","-","$780,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Reid John Reid","CB",25,"$780,000","0.43%","-","$780,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Nkemdiche Robert Nkemdiche","DE",27,"$708,333","0.39%","-","$825,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Shepley Dakoda Shepley","G",27,"$660,000","0.36%","-","$660,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Eason Jacob Eason","QB",24,"$520,002","0.28%","-","$520,002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Warrior Nigel Warrior","S",24,"$415,000","0.23%","-","$415,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Haynes Phil Haynes","G",26,"$330,554","0.18%","-","$330,554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Muse Tanner Muse","OLB",25,"$146,664","0.08%","-","$146,664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Jones Josh Jones","S",27,"$55,000","0.03%","-","$55,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Fuller Aaron Fuller","WR",24,"$36,666","0.02%","-","$36,666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Jackson Michael Jackson","CB",24,"$36,666","0.02%","-","$36,666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Johnson Josh Johnson","RB",24,"$36,666","0.02%","-","$36,666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Mabry Tyler Mabry","TE",25,"$36,666","0.02%","-","$36,666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Thompson Cody Thompson","WR",25,"$36,666","0.02%","-","$36,666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Robinson Edmond Robinson","OLB",29,"-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Ford Poona Ford","DE",27,"$10,075,000","4.84%","($4,830,000)","$8,325,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Lockett Tyler Lockett","WR",30,"$10,050,000","4.83%","($31,200,000)","$16,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Metcalf D.K. Metcalf","WR",25,"$8,838,827","4.25%","($43,338,827)","$31,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Jackson Gabe Jackson","G",31,"$7,237,777","3.48%","($12,000,000)","$6,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Nwosu Uchenna Nwosu","OLB",26,"$6,295,000","3.02%","($10,535,000)","$11,045,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Diggs Quandre Diggs","SS",29,"$5,800,000","2.79%","($13,490,000)","$14,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Myers Jason Myers","K",31,"$5,000,000","2.40%","($1,000,000)","$4,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Harris Shelby Harris","DT",31,"$4,709,988","2.26%","($7,970,576)","$7,970,576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Dickson Michael Dickson","P",26,"$4,383,059","2.11%","($6,200,000)","$3,083,059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Blythe Austin Blythe","C",30,"$4,000,000","1.92%","($2,500,000)","$4,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Cross Charles Cross","LT",22,"$3,887,932","1.87%","($21,383,626)","$13,436,728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Jefferson Quinton Jefferson","DT",29,"$3,515,000","1.69%","($5,175,000)","$5,515,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Smith Geno Smith","QB",32,"$3,500,000","1.68%","($550,000)","$7,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Woods Al Woods","DT",35,"$3,460,000","1.66%","($4,730,000)","$5,150,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Collier L.J. Collier","DE",27,"$3,447,843","1.66%","($2,461,521)","$1,972,647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Bellore Nick Bellore","FB",33,"$2,750,000","1.32%","($600,000)","$2,150,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Haynes Phil Haynes","G",27,"$2,540,000","1.22%","-","$2,540,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Fant Noah Fant","TE",25,"$2,211,917","1.06%","-","$2,211,917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Burns Artie Burns","CB",27,"$2,035,000","0.98%","($1,000,000)","$2,035,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Taylor Darrell Taylor","OLB",25,"$1,844,865","0.89%","($1,239,820)","$1,224,955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Mafe Boye Mafe","DE",24,"$1,556,773","0.75%","($5,614,285)","$4,112,092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Walker Kenneth Walker","RB",22,"$1,534,833","0.74%","($5,439,040)","$4,024,332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Lock Drew Lock","QB",26,"$1,451,021","0.70%","($100,000)","$1,451,021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Lewis Damien Lewis","G",25,"$1,336,947","0.64%","($562,596)","$1,055,649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Barton Cody Barton","ILB",26,"$1,186,031","0.57%","($221,031)","$965,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Fuller Kyle Fuller","C",28,"$1,185,000","0.57%","($150,000)","$1,185,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Parkinson Colby Parkinson","TE",23,"$1,062,610","0.51%","($335,220)","$895,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Dallas DeeJay Dallas","RB",24,"$1,018,600","0.49%","($247,200)","$895,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Lucas Abraham Lucas","RT",24,"$980,305","0.47%","($1,101,220)","$1,806,220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Tabor Jalen Tabor","CB",27,"$911,387","0.44%","-","$911,387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Bryant Coby Bryant","CB",23,"$906,951","0.44%","($807,804)","$1,512,804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Coleman Justin Coleman","CB",29,"$895,000","0.43%","-","$1,120,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Neal Ryan Neal","CB",27,"$895,000","0.43%","-","$1,035,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Hart Penny Hart","WR",26,"$895,000","0.43%","-","$895,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Forsythe Stone Forsythe","LT",25,"$866,656","0.42%","($124,968)","$825,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Tinker Carson Tinker","LS",33,"$845,274","0.41%","-","$977,500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Muse Tanner Muse","OLB",26,"$845,274","0.41%","-","$845,274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Curhan Jake Curhan","RT",24,"$834,500","0.40%","($19,000)","$825,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Jackson Michael Jackson","CB",25,"$825,000","0.40%","-","$1,559,602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Rhattigan Jon Rhattigan","LB",23,"$825,000","0.40%","-","$825,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Woolen Tariq Woolen","CB",23,"$788,054","0.38%","($332,216)","$1,779,594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Brown Tre Brown","CB",25,"$779,612","0.37%","($480,498)","$619,446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Young Dareke Young","WR",23,"$730,275","0.35%","($101,100)","$806,100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Adams Myles Adams","DT",24,"$705,000","0.34%","-","$705,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Irvin Bruce Irvin","DE",35,"$497,222","0.24%","-","$622,220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Abram Johnathan Abram","FS",26,"$343,754","0.17%","($343,754)","$343,754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Treadwell Laquon Treadwell","WR",27,"$149,166","0.07%","-","$172,500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Crawford Xavier Crawford","CB",27,"$107,222","0.05%","-","$107,222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Mack Isaiah Mack","DT",26,"$107,222","0.05%","-","$107,222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Igwebuike Godwin Igwebuike","RB",28,"$99,444","0.05%","-","$99,444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Jones Vi Jones","LB",24,"$78,334","0.04%","-","$78,334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Mabry Tyler Mabry","TE",26,"$45,833","0.02%","-","$45,833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2022,"Onujiogu Joshua Onujiogu","DE",24,"$39,167","0.02%","-","$39,167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Metcalf D.K. Metcalf","WR",26,"$13,720,000","6.10%","($36,720,000)","$14,220,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Diggs Quandre Diggs","FS",30,"$11,937,500","5.31%","($21,690,000)","$14,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Lockett Tyler Lockett","WR",31,"$11,060,000","4.92%","($30,850,000)","$9,700,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Smith Geno Smith","QB",33,"$10,100,000","4.49%","($27,500,000)","$27,500,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Jones Dre'Mont Jones","DE",26,"$10,056,666","4.47%","($23,000,000)","$23,510,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Dissly Will Dissly","TE",27,"$9,190,000","4.09%","($11,840,000)","$6,120,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Wagner Bobby Wagner","ILB",33,"$7,000,000","3.11%","($5,500,000)","$7,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Fant Noah Fant","TE",26,"$6,850,000","3.05%","($6,850,000)","$6,850,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Witherspoon Devon Witherspoon","CB",23,"$5,792,937","2.58%","($31,861,152)","$20,921,748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Cross Charles Cross","LT",23,"$4,859,915","2.16%","($17,495,694)","$1,676,983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Lock Drew Lock","QB",27,"$4,000,000","1.78%","($3,490,000)","$3,610,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Love Julian Love","FS",25,"$3,900,000","1.73%","($5,980,000)","$6,310,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Brooks Jordyn Brooks","ILB",26,"$3,893,148","1.73%","($3,893,148)","$2,278,492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Bush Devin Bush","ILB",25,"$3,500,000","1.56%","($2,990,000)","$3,380,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Dickson Michael Dickson","P",27,"$3,300,000","1.47%","($5,900,000)","$2,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Lewis Damien Lewis","G",26,"$3,274,298","1.46%","($281,298)","$2,993,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Myers Jason Myers","K",32,"$3,040,000","1.35%","($8,665,000)","$8,665,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Reed Jarran Reed","DE",31,"$3,030,000","1.35%","($4,190,000)","$4,510,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Smith-Njigba Jaxon Smith-Njigba","WR",21,"$2,621,329","1.17%","($14,417,308)","$8,235,316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Bellore Nick Bellore","FB",34,"$2,600,000","1.16%","($3,495,000)","$3,735,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Brown Evan Brown","G",27,"$2,250,000","1.00%","($2,250,000)","$2,250,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Taylor Darrell Taylor","OLB",26,"$2,152,343","0.96%","($619,910)","$1,532,433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Mafe Boye Mafe","DE",25,"$1,945,966","0.87%","($4,762,512)","$1,094,193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Walker Kenneth Walker","RB",23,"$1,918,541","0.85%","($4,609,207)","$1,088,708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Hall Derick Hall","DE",22,"$1,657,378","0.74%","($7,222,545)","$4,379,512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Charbonnet Zach Charbonnet","RB",22,"$1,250,196","0.56%","($3,813,333)","$2,750,784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Lucas Abraham Lucas","RT",25,"$1,225,381","0.55%","($825,915)","$950,076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Parkinson Colby Parkinson","TE",24,"$1,177,610","0.52%","($167,610)","$1,010,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Dallas DeeJay Dallas","RB",25,"$1,133,600","0.50%","($123,600)","$1,010,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2023,"Brown Tre Brown","CB",26,"$1,100,166","0.49%","($320,332)","$940,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
